Timestamp,Multiplier,Color
2025-10-18 09:19:43.431294+05:30,2.44,
2025-10-18 09:20:02.106273+05:30,1.4,
2025-10-18 09:20:15.389951+05:30,5.65,
2025-10-18 09:20:46.584243+05:30,2.46,
2025-10-18 09:21:06.134044+05:30,1.46,
2025-10-18 09:21:21.768850+05:30,11.0,
2025-10-18 09:22:14.613289+05:30,1.06,
2025-10-18 09:22:19.812788+05:30,1.0,
2025-10-18 09:22:25.226804+05:30,3.82,
2025-10-18 09:22:52.252826+05:30,10.01,
2025-10-18 09:23:29.697361+05:30,4.55,
2025-10-18 09:23:55.283599+05:30,9.82,
2025-10-18 09:24:32.360521+05:30,2.82,
2025-10-18 09:24:54.543709+05:30,1.26,
2025-10-18 09:25:10.969842+05:30,1.47,
2025-10-18 09:25:19.887581+05:30,11.0,
2025-10-18 09:26:14.212323+05:30,1.64,
2025-10-18 09:26:27.972153+05:30,1.24,
2025-10-18 09:26:42.647256+05:30,2.92,
2025-10-18 09:27:04.064905+05:30,2.03,
2025-10-18 09:27:21.409139+05:30,1.55,
2025-10-18 09:27:40.406651+05:30,1098.0,
